Document Name (Concatenation Mapping),Document Type (Option),Document Type Category (Option),Respondent,Practitioner,Petitioner,Event Code ,Scenario,Variations ,Label- Previous Document from Record ,Label- Free Text / Trial Location Dropdown,Second Free Text ,Ordinal Field
Notice of Judicial Ruling,Notice of Judicial Ruling,Notice,TRUE,TRUE,TRUE,NRJR,Standard,,,,,
Notice of No Objection to [Document Name],Notice of No Objection,Notice,TRUE,TRUE,TRUE,NNOB,Nonstandard A,,Which document are you not objecting to?,,,
Notice of Objection to [Document Name],Notice of Objection,Notice,TRUE,TRUE,TRUE,OBJN,Nonstandard A,,Which document are you objecting to?,,,
Notice of Partial Abatement of Jeopardy Assessment,Notice of Partial Abatement of Jeopardy Assessment,Notice,TRUE,TRUE,TRUE,NPJR,Standard,,,,,
Notice of Proceeding in Bankruptcy,Notice of Proceeding in Bankruptcy,Notice,TRUE,TRUE,TRUE,NPB,Standard,,,,,
Notice of Relevant Judicial Decisions,Notice of Relevant Judicial Decisions,Notice,TRUE,TRUE,TRUE,NRJD,Standard,,,,,
Notice of Settlement Agreement Pursuant to Rule 248(c)(1),Notice of Settlement Agreement Pursuant to Rule 248(c)(1),Notice,TRUE,TRUE,TRUE,NOST,Standard,,,,,
Notice of Small Tax Case Election,Notice of Small Tax Case Election,Notice,TRUE,TRUE,TRUE,NSTE,Standard,,,,,
Notice of Supplemental Authority,Notice of Supplemental Authority,Notice,TRUE,TRUE,TRUE,NSA,Standard,,,,,
Notice of Telephone Number,Notice of Telephone Number,Notice,TRUE,TRUE,TRUE,NTN ,Standard,,,,,
Notice of Termination Assessment,Notice of Termination Assessment,Notice,TRUE,TRUE,TRUE,NTA,Standard,,,,,
Notice of Unavailability,Notice of Unavailability,Notice,TRUE,TRUE,TRUE,NOU,Standard,,,,,
Objection [anything],Objection [anything],"Response, Opposition or Objection",,,,OBJ,Nonstandard B,,,What Is being objected to?,,
Objection to [Document Name],Objection,"Response, Opposition or Objection",TRUE,TRUE,TRUE,OBJE,Nonstandard A,,Which document are you objecting to?,,,
Opposition [anything] ,Opposition [anything] ,"Response, Opposition or Objection",,,,OP,Nonstandard B,,,What is being opposed?,,
Opposition to [Document Name],Opposition,"Response, Opposition or Objection",TRUE,TRUE,TRUE,OPPO,Nonstandard A,,Which document are you opposed to?,,,
Corporate Disclosure Statement,Corporate Disclosure Statement,Statement,TRUE,TRUE,TRUE,DISC,Standard,,,,,
Partial Administrative Record,Partial Administrative Record,Miscellaneous,TRUE,TRUE,TRUE,PARD,Standard,,,,,
Petition ,Petition ,Petition,,,,P ,Standard ,,,,,
Prehearing Memorandum,Prehearing Memorandum,Pretrial Memorandum,TRUE,TRUE,TRUE,PHM,Standard,,,,,
Pretrial Memorandum,Pretrial Memorandum,Pretrial Memorandum,TRUE,TRUE,TRUE,PMT,Standard,,,,,
Proposed Stipulated Decision,Proposed Stipulated Decision,Decision,TRUE,TRUE,TRUE,PSDE,Standard,,,,,
Ratification of [anything],Ratification,Miscellaneous,TRUE,TRUE,TRUE,RATF,Nonstandard B,,,What are you ratifying?,,
Ratification of Petition ,Ratification of Petition ,Petition,,,,RAT,Standard ,,,,,
Redacted [Document Name],Redacted,Miscellaneous,TRUE,TRUE,TRUE,REDC,Nonstandard A,,Which document are you redacting?,,,
Redacted Petition,Redacted Petition,Petition,TRUE,TRUE,TRUE,PTFR,Standard,,,,,
Reference List of Redacted Information [anything] ,Reference List of Redacted Information ,Miscellaneous,,,,RLRI,Nonstandard B,,,Redacted information details,,
Reply to [Document Name],Reply,Reply,TRUE,TRUE,TRUE,REPL,Nonstandard A,,Which document are you replying to?,,,
Report,Report,Miscellaneous,TRUE,TRUE,TRUE,RTP,Standard,,,,,
Request [anything],Request ,Request,,,,REQ,Nonstandard B,,,What is this request for?,,
Request for Judicial Notice,Request for Judicial Notice,Request,TRUE,TRUE,TRUE,RJN,Standard,,,,,
Request for Place of Trial at [Place],Request for Place of Trial,Request,TRUE,TRUE,TRUE,RQT,Nonstandard E,,,Requested location,,
Request for Pretrial Conference,Request for Pretrial Conference,Request,TRUE,TRUE,TRUE,RFPC,Standard,,,,,
Response [anything],Response [anything],"Response, Opposition or Objection",,,,RESP,Nonstandard B,,,What is this responding to?,,
Response to [Document Name],Response,"Response, Opposition or Objection",TRUE,TRUE,TRUE,RSP,Nonstandard A,,Which document are you responding to?,,,
Returned Mail ,Returned Mail ,Miscellaneous,,,,RM ,Standard ,Needs cover sheet / no filed by ,,,,
Revised Computation,Revised Computation,Decision,TRUE,TRUE,TRUE,RCOM,Standard,,,,,
Seriatim Answering Brief,Seriatim Answering Brief,Seriatim Brief,TRUE,TRUE,TRUE,SEAB,Standard,,,,,
Seriatim Answering Memorandum Brief,Seriatim Answering Memorandum Brief,Seriatim Brief,TRUE,TRUE,TRUE,SAMB,Standard,,,,,
Seriatim Opening Brief,Seriatim Opening Brief,Seriatim Brief,TRUE,TRUE,TRUE,SEOB,Standard,,,,,
Seriatim Opening Memorandum Brief,Seriatim Opening Memorandum Brief,Seriatim Brief,TRUE,TRUE,TRUE,SOMB,Standard,,,,,
Seriatim Reply Brief,Seriatim Reply Brief,Seriatim Brief,TRUE,TRUE,TRUE,SERB,Standard,,,,,
Seriatim Reply Memorandum Brief,Seriatim Reply Memorandum Brief,Seriatim Brief,TRUE,TRUE,TRUE,SRMB,Standard,,,,,
Seriatim Sur-Reply Brief,Seriatim Sur-Reply Brief,Seriatim Brief,TRUE,TRUE,TRUE,SESB,Standard,,,,,
Seriatim Sur-Reply Memorandum Brief,Seriatim Sur-Reply Memorandum Brief,Seriatim Brief,TRUE,TRUE,TRUE,SSRB,Standard,,,,,
Settlement Stipulation,Settlement Stipulation,Stipulation,TRUE,TRUE,TRUE,SSTP,Standard,,,,,
Simultaneous Answering Brief,Simultaneous Answering Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SIAB,Standard,,,,,
Simultaneous Answering Memoranda of Law,Simultaneous Answering Memoranda of Law,Simultaneous Brief,TRUE,TRUE,TRUE,SIAM,Standard,,,,,
Simultaneous Answering Memorandum Brief,Simultaneous Answering Memorandum Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SIMB,Standard,,,,,
Simultaneous Memoranda of Law,Simultaneous Memoranda of Law,Simultaneous Brief,TRUE,TRUE,TRUE,SIML,Standard,,,,,
Simultaneous Opening Brief,Simultaneous Opening Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SIOB,Standard,,,,,
Simultaneous Opening Memorandum Brief,Simultaneous Opening Memorandum Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SIOM,Standard,,,,,
Simultaneous Reply Brief,Simultaneous Reply Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SIRB,Standard,,,,,
Simultaneous Supplemental Brief,Simultaneous Supplemental Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SSB,Standard,,,,,
Simultaneous Sur-Reply Brief,Simultaneous Sur-Reply Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SISB,Standard,,,,,
Simultaneous Sur-Reply Memorandum Brief,Simultaneous Sur-Reply Memorandum Brief,Simultaneous Brief,TRUE,TRUE,TRUE,SSRM,Standard,,,,,
Statement [anything],Statement,Statement,TRUE,TRUE,TRUE,STAT,Nonstandard B,,,What is this statement for?,,
Statement of Redacted Information,Statement of Redacted Information,Statement,TRUE,TRUE,TRUE,SORI,Standard,,,,,
Statement under Rule 212,Statement under Rule 212,Statement,TRUE,TRUE,TRUE,S212,Standard,,,,,
Statement under Rule 50(c),Statement under Rule 50(c),Statement,TRUE,TRUE,TRUE,STAR,Standard,,,,,
Status Report,Status Report,Miscellaneous,TRUE,TRUE,TRUE,RPT,Standard,,,,,
Stipulation [anything],Stipulation,Stipulation,TRUE,TRUE,TRUE,STP,Nonstandard B,,,What is this stipulation for?,,
Stipulation as to the Administrative Record,Stipulation as to the Administrative Record,Stipulation,TRUE,TRUE,TRUE,SADM,Standard,,,,,
Stipulation as to the Partial Administrative Record,Stipulation as to the Partial Administrative Record,Stipulation,TRUE,TRUE,TRUE,SPAR,Standard,,,,,
Stipulation of Pretrial Deadlines,Stipulation of Pretrial Deadlines,Stipulation,TRUE,TRUE,TRUE,SPD,Standard,,,,,
Stipulation of Settled Issues,Stipulation of Settled Issues,Stipulation,TRUE,TRUE,TRUE,STST,Standard,,,,,
Stipulation of Settlement,Stipulation of Settlement,Stipulation,TRUE,TRUE,TRUE,STS,Standard,,,,,
Stipulation to Be Bound by [docket number],Stipulation to Be Bound,Stipulation,TRUE,TRUE,TRUE,STBB,Nonstandard B,,,Docket number,,
Stipulation to Take Deposition of [Name],Stipulation to Take Deposition,Stipulation,TRUE,TRUE,TRUE,STPD,Nonstandard B,,,Name,,
Substitution of Counsel,Substitution of Counsel,Appearance and Representation,,,,SOC,Standard ,,,,,
Sur-Reply to [Document Name],Sur-Reply,Reply,TRUE,TRUE,TRUE,SURP,Nonstandard A,,Which document are you replying to?,,,
Trial Exhibits for [Anything] ,Trial Exhibits ,Miscellaneous,,,,TE,Nonstandard B,Needs cover sheet / no filed by ,,Description ,,
U.S.C.A. [Anything],U.S.C.A. [Anything],Miscellaneous,,,,USCA,Nonstandard B,Needs cover sheet / no filed by ,,Description ,,
Unsworn Declaration of [Name] under Penalty of Perjury in Support of [Document Name],Unsworn Declaration under Penalty of Perjury in Support,Supporting Document,TRUE,TRUE,TRUE,USDL,Nonstandard C,,Which document is this declaration in support of?,Who signed this?,,
